t,thrust,mass
0.506,2.62964,0.01095
0.508,2.63705,0.01094
0.51,2.64447,0.01093
0.512,2.651895,0.01092
0.514,2.659335,0.01091
0.516,2.666785,0.0109
0.518,2.674245,0.01089
0.52,2.681715,0.01089
0.522,2.689195,0.01088
0.524,2.696685,0.01087
0.526,2.704185,0.01086
0.528,2.711695,0.01085
0.53,2.719215,0.01084
0.532,2.726745,0.01083
0.534,2.734285,0.01083
0.536,2.741835,0.01082
0.538,2.749395,0.01081
0.54,2.756965,0.0108
0.542,2.764545,0.01079
0.544,2.772135,0.01078
0.546,2.779735,0.01077
0.548,2.78735,0.01076
0.55,2.79497,0.01075
0.552,2.8026,0.01075
0.554,2.81024,0.01074
0.556,2.81789,0.01073
0.558,2.825555,0.01072
0.56,2.833225,0.01071
0.562,2.840905,0.0107
0.564,2.848595,0.01069
0.566,2.8563,0.01068
0.568,2.86401,0.01067
0.57,2.871735,0.01067
0.572,2.879465,0.01066
0.574,2.88721,0.01065
0.576,2.89496,0.01064
0.578,2.902725,0.01063
0.58,2.9105,0.01062
0.582,2.91828,0.01061
0.584,2.926075,0.0106
0.586,2.93388,0.01059
0.588,2.941695,0.01058
0.59,2.949515,0.01058
0.592,2.95735,0.01057
0.594,2.965195,0.01056
0.596,2.97305,0.01055
0.598,2.98092,0.01054
0.6,2.988795,0.01053
0.602,2.99668,0.01052
0.604,3.004575,0.01051
0.606,3.012485,0.0105
0.608,3.0204,0.01049
0.61,3.028325,0.01048
0.612,3.036265,0.01047
0.614,3.04421,0.01047
0.616,3.05217,0.01046
0.618,3.06014,0.01045
0.62,3.06812,0.01044
0.622,3.076105,0.01043
0.624,3.084105,0.01042
0.626,3.092115,0.01041
0.628,3.100135,0.0104
0.63,3.10817,0.01039
0.632,3.11621,0.01038
0.634,3.12426,0.01037
0.636,3.13232,0.01036
0.638,3.140395,0.01035
0.64,3.148475,0.01034
0.642,3.15657,0.01033
0.644,3.164675,0.01032
0.646,3.17279,0.01032
0.648,3.18091,0.01031
0.65,3.189045,0.0103
0.652,3.19719,0.01029
0.654,3.205345,0.01028
0.656,3.213515,0.01027
0.658,3.22169,0.01026
0.66,3.229875,0.01025
0.662,3.238075,0.01024
0.664,3.24628,0.01023
0.666,3.2545,0.01022
0.668,3.26273,0.01021
0.67,3.27097,0.0102
0.672,3.27922,0.01019
0.674,3.28748,0.01018
0.676,3.29575,0.01017
0.678,3.30403,0.01016
0.68,3.312325,0.01015
0.682,3.320625,0.01014
0.684,3.32894,0.01013
0.686,3.33726,0.01012
0.688,3.345595,0.01011
0.69,3.35394,0.0101
0.692,3.362295,0.01009
0.694,3.37066,0.01008
0.696,3.379035,0.01007
0.698,3.387425,0.01006
0.7,3.39582,0.01005
0.702,3.40423,0.01004
0.704,3.412645,0.01003
0.706,3.421075,0.01002
0.708,3.429515,0.01002
0.71,3.437965,0.01001
0.712,3.446425,0.01
0.714,3.454895,0.00999
0.716,3.46338,0.00998
0.718,3.47187,0.00997
0.72,3.480375,0.00996
0.722,3.488885,0.00995
0.724,3.49741,0.00994
0.726,3.505945,0.00993
0.728,3.51449,0.00992
0.73,3.523045,0.00991
0.732,3.531615,0.0099
0.734,3.54019,0.00989
0.736,3.54878,0.00988
0.738,3.557375,0.00986
0.74,3.565985,0.00985
0.742,3.574605,0.00984
0.744,3.583235,0.00983
0.746,3.59188,0.00982
0.748,3.60053,0.00981
0.75,3.60919,0.0098
0.752,3.617865,0.00979
0.754,3.62655,0.00978
0.756,3.635245,0.00977
0.758,3.64395,0.00976
0.76,3.652665,0.00975
0.762,3.66139,0.00974
0.764,3.67013,0.00973
0.766,3.678875,0.00972
0.768,3.687635,0.00971
0.77,3.696405,0.0097
0.772,3.705185,0.00969
0.774,3.713975,0.00968
0.776,3.722775,0.00967
0.778,3.731585,0.00966
0.78,3.74041,0.00965
0.782,3.749245,0.00964
0.784,3.758085,0.00963
0.786,3.76694,0.00962
0.788,3.775805,0.00961
0.79,3.784685,0.0096
0.792,3.79357,0.00959
0.794,3.80247,0.00958
0.796,3.811375,0.00957
0.798,3.820295,0.00955
0.8,3.829225,0.00954
0.802,3.838165,0.00953
0.804,3.84712,0.00952
0.806,3.85608,0.00951
0.808,3.865055,0.0095
0.81,3.874035,0.00949
0.812,3.88303,0.00948
0.814,3.892035,0.00947
0.816,3.90105,0.00946
0.818,3.91008,0.00945
0.82,3.919115,0.00944
0.822,3.928165,0.00943
0.824,3.93722,0.00942
0.826,3.94629,0.00941
0.828,3.955375,0.00939
0.83,3.964465,0.00938
0.832,3.973565,0.00937
0.834,3.98268,0.00936
0.836,3.9918,0.00935
0.838,4.000935,0.00934
0.84,4.01008,0.00933
0.842,4.019235,0.00932
0.844,4.028405,0.00931
0.846,4.03758,0.0093
0.848,4.04677,0.00929
0.85,4.055965,0.00928
0.852,4.065175,0.00926
0.854,4.0744,0.00925
0.856,4.08363,0.00924
0.858,4.09287,0.00923
0.86,4.102125,0.00922
0.862,4.111385,0.00921
0.864,4.12066,0.0092
0.866,4.129945,0.00919
0.868,4.13924,0.00918
0.87,4.14855,0.00917
0.872,4.157865,0.00915
0.874,4.167195,0.00914
0.876,4.176535,0.00913
0.878,4.185885,0.00912
0.88,4.195245,0.00911
0.882,4.204615,0.0091
0.884,4.214,0.00909
0.886,4.22339,0.00908
0.888,4.232795,0.00906
0.89,4.24221,0.00905
0.892,4.251635,0.00904
0.894,4.26107,0.00903
0.896,4.27052,0.00902
0.898,4.279975,0.00901
0.9,4.289445,0.009
0.902,4.298925,0.00899
0.904,4.308415,0.00897
0.906,4.317915,0.00896
0.908,4.327425,0.00895
0.91,4.33695,0.00894
0.912,4.34648,0.00893
0.914,4.356025,0.00892
0.916,4.36558,0.00891
0.918,4.375145,0.00889
0.92,4.38472,0.00888
0.922,4.39431,0.00887
0.924,4.403905,0.00886
0.926,4.413515,0.00885
0.928,4.423135,0.00884
0.93,4.432765,0.00882
0.932,4.442405,0.00881
0.934,4.45206,0.0088
0.936,4.46172,0.00879
0.938,4.471395,0.00878
0.94,4.48108,0.00877
0.942,4.490775,0.00876
0.944,4.50048,0.00874
0.946,4.510195,0.00873
0.948,4.51992,0.00872
0.95,4.52966,0.00871
0.952,4.53941,0.0087
0.954,4.54917,0.00868
0.956,4.55894,0.00867
0.958,4.56872,0.00866
0.96,4.57851,0.00865
0.962,4.588315,0.00864
0.964,4.598125,0.00863
0.966,4.60795,0.00861
0.968,4.617785,0.0086
0.97,4.62763,0.00859
0.972,4.637485,0.00858
0.974,4.647355,0.00857
0.976,4.65723,0.00855
0.978,4.66712,0.00854
0.98,4.67702,0.00853
0.982,4.68693,0.00852
0.984,4.69685,0.00851
0.986,4.70678,0.00849
0.988,4.71672,0.00848
0.99,4.726675,0.00847
0.992,4.73664,0.00846
0.994,4.74661,0.00845
0.996,4.756595,0.00843
0.998,4.76659,0.00842
1,4.7766,0.00841
1.002,4.786615,0.0084
1.004,4.79664,0.00839
1.006,4.80668,0.00837
1.008,4.81673,0.00836
1.01,4.82679,0.00835
1.012,4.83686,0.00834
1.014,4.84694,0.00832
1.016,4.85703,0.00831
1.018,4.867135,0.0083
1.02,4.877245,0.00829
1.022,4.88737,0.00828
1.024,4.897505,0.00826
1.026,4.90765,0.00825
1.028,4.917805,0.00824
1.03,4.92797,0.00823
1.032,4.938145,0.00821
1.034,4.948335,0.0082
1.036,4.95853,0.00819
1.038,4.96874,0.00818
1.04,4.97896,0.00816
1.042,4.98919,0.00815
1.044,4.99943,0.00814
1.046,5.00968,0.00813
1.048,5.01994,0.00811
1.05,5.03021,0.0081
1.052,5.040495,0.00809
1.054,5.05079,0.00808
1.056,5.06109,0.00806
1.058,5.071405,0.00805
1.06,5.08173,0.00804
1.062,5.092065,0.00802
1.064,5.10241,0.00801
1.066,5.11277,0.008
1.068,5.123135,0.00799
1.07,5.13351,0.00797
1.072,5.1439,0.00796
1.074,5.1543,0.00795
1.076,5.164705,0.00794
1.078,5.175125,0.00792
1.08,5.185555,0.00791
1.082,5.195995,0.0079
1.084,5.20645,0.00788
1.086,5.21691,0.00787
1.088,5.22738,0.00786
1.09,5.237865,0.00785
1.092,5.248355,0.00783
1.094,5.25886,0.00782
1.096,5.26937,0.00781
1.098,5.279895,0.00779
1.1,5.29043,0.00778
1.102,5.300975,0.00777
1.104,5.31153,0.00775
1.106,5.322095,0.00774
1.108,5.33267,0.00773
1.11,5.34326,0.00772
1.112,5.353855,0.0077
1.114,5.36446,0.00769
1.116,5.37508,0.00768
1.118,5.385705,0.00766
1.12,5.396345,0.00765
1.122,5.406995,0.00764
1.124,5.41765,0.00762
1.126,5.42832,0.00761
1.128,5.439,0.0076
1.13,5.44969,0.00758
1.132,5.46039,0.00757
1.134,5.4711,0.00756
1.136,5.48182,0.00754
1.138,5.49255,0.00753
1.14,5.50329,0.00752
1.142,5.51404,0.0075
1.144,5.524805,0.00749
1.146,5.535575,0.00748
1.148,5.546355,0.00746
1.15,5.55715,0.00745
1.152,5.56795,0.00744
1.154,5.578765,0.00742
1.156,5.589585,0.00741
1.158,5.600415,0.0074
1.16,5.61126,0.00738
1.162,5.622115,0.00737
1.164,5.632975,0.00736
1.166,5.64385,0.00734
1.168,5.65473,0.00733
1.17,5.665625,0.00731
1.172,5.67653,0.0073
1.174,5.68744,0.00729
1.176,5.698365,0.00727
1.178,5.7093,0.00726
1.18,5.720245,0.00725
1.182,5.731195,0.00723
1.184,5.74216,0.00722
1.186,5.753135,0.0072
1.188,5.764115,0.00719
1.19,5.77511,0.00718
1.192,5.786115,0.00716
1.194,5.79713,0.00715
1.196,5.80815,0.00714
1.198,5.819185,0.00712
1.2,5.83023,0.00711
1.202,5.84128,0.00709
1.204,5.852345,0.00708
1.206,5.863415,0.00707
1.208,5.8745,0.00705
1.21,5.885595,0.00704
1.212,5.896695,0.00702
1.214,5.907805,0.00701
1.216,5.91893,0.007
1.218,5.93006,0.00698
1.22,5.941205,0.00697
1.222,5.952355,0.00695
1.224,5.963515,0.00694
1.226,5.974685,0.00693
1.228,5.98587,0.00691
1.23,5.99706,0.0069
1.232,6.00826,0.00688
1.234,6.01947,0.00687
1.236,6.03069,0.00685
1.238,6.04192,0.00684
1.24,6.053155,0.00683
1.242,6.064405,0.00681
1.244,6.075665,0.0068
1.246,6.08693,0.00678
1.248,6.09821,0.00677
1.25,6.109495,0.00675
1.252,6.12079,0.00674
1.254,6.1321,0.00673
1.256,6.143415,0.00671
1.258,6.15474,0.0067
1.26,6.166075,0.00668
1.262,6.17742,0.00667
1.264,6.18877,0.00665
1.266,6.200135,0.00664
1.268,6.211505,0.00662
1.27,6.22289,0.00661
1.272,6.23428,0.0066
1.274,6.24568,0.00658
1.276,6.25709,0.00657
1.278,6.26851,0.00655
1.28,6.27994,0.00654
1.282,6.29138,0.00652
1.284,6.302825,0.00651
1.286,6.314285,0.00649
1.288,6.32575,0.00648
1.29,6.337225,0.00646
1.292,6.34871,0.00645
1.294,6.360205,0.00643
1.296,6.371705,0.00642
1.298,6.38322,0.0064
1.3,6.39474,0.00639
1.302,6.40627,0.00637
1.304,6.41781,0.00636
1.306,6.42936,0.00634
1.308,6.440915,0.00633
1.31,6.452485,0.00631
1.312,6.46406,0.0063
1.314,6.475645,0.00628
1.316,6.48724,0.00627
1.318,6.498845,0.00625
1.32,6.510455,0.00624
1.322,6.522075,0.00622
1.324,6.533705,0.00621
1.326,6.545345,0.00619
1.328,6.556995,0.00618
1.33,6.56865,0.00616
1.332,6.580315,0.00615
1.334,6.59199,0.00613
1.336,6.603675,0.00612
1.338,6.615365,0.0061
1.34,6.62707,0.00609
1.342,6.63878,0.00607
1.344,6.650495,0.00606
1.346,6.662225,0.00604
1.348,6.67396,0.00603
1.35,6.685705,0.00601
1.352,6.69746,0.006
1.354,6.70922,0.00598
1.356,6.720995,0.00597
1.358,6.73277,0.00595
1.36,6.74456,0.00593
1.362,6.756355,0.00592
1.364,6.76816,0.0059
1.366,6.779975,0.00589
1.368,6.7918,0.00587
1.37,6.80363,0.00586
1.372,6.81547,0.00584
1.374,6.827315,0.00583
1.376,6.839175,0.00581
1.378,6.85104,0.00579
1.38,6.86291,0.00578
1.382,6.87479,0.00576
1.384,6.88668,0.00575
1.386,6.89858,0.00573
1.388,6.910485,0.00572
1.39,6.9224,0.0057
1.392,6.934325,0.00569
1.394,6.946255,0.00567
1.396,6.958195,0.00565
1.398,6.97014,0.00564
1.4,6.9821,0.00562
1.402,6.99406,0.00561
1.404,7.006035,0.00559
1.406,7.018015,0.00557
1.408,7.03,0.00556
1.41,7.042,0.00554
1.412,7.054,0.00553
1.414,7.066015,0.00551
1.416,7.078035,0.00549
1.418,7.090065,0.00548
1.42,7.1021,0.00546
1.422,7.114145,0.00545
1.424,7.126195,0.00543
1.426,7.138255,0.00541
1.428,7.15032,0.0054
1.43,7.162395,0.00538
1.432,7.17448,0.00537
1.434,7.18657,0.00535
1.436,7.19867,0.00533
1.438,7.21072,0.00532
1.44,7.17031,0.0053
1.442,7.173735,0.00529
1.444,7.177155,0.00527
1.446,7.180575,0.00525
1.448,7.18399,0.00524
1.45,7.187405,0.00522
1.452,7.190815,0.0052
1.454,7.19422,0.00519
1.456,7.19761,0.00517
1.458,7.200995,0.00516
1.46,7.20438,0.00514
1.462,7.207755,0.00512
1.464,7.21113,0.00511
1.466,7.2145,0.00509
1.468,7.217865,0.00507
1.47,7.22123,0.00506
1.472,7.22459,0.00504
1.474,7.227945,0.00503
1.476,7.231295,0.00501
1.478,7.23464,0.00499
1.48,7.237985,0.00498
1.482,7.241325,0.00496
1.484,7.24466,0.00494
1.486,7.24799,0.00493
1.488,7.25132,0.00491
1.49,7.25464,0.00489
1.492,7.25796,0.00488
1.494,7.26128,0.00486
1.496,7.26459,0.00485
1.498,7.2679,0.00483
1.5,7.271205,0.00481
1.502,7.274505,0.0048
1.504,7.2778,0.00478
1.506,7.281095,0.00476
1.508,7.284385,0.00475
1.51,7.28767,0.00473
1.512,7.29095,0.00472
1.514,7.29423,0.0047
1.516,7.297505,0.00468
1.518,7.300775,0.00467
1.52,7.30404,0.00465
1.522,7.307305,0.00463
1.524,7.310565,0.00462
1.526,7.31382,0.0046
1.528,7.31707,0.00458
1.53,7.320315,0.00457
1.532,7.32356,0.00455
1.534,7.3268,0.00453
1.536,7.330035,0.00452
1.538,7.33327,0.0045
1.54,7.3365,0.00449
1.542,7.339725,0.00447
1.544,7.342945,0.00445
1.546,7.34616,0.00444
1.548,7.349375,0.00442
1.55,7.352585,0.0044
1.552,7.35579,0.00439
1.554,7.358995,0.00437
1.556,7.362195,0.00435
1.558,7.36539,0.00434
1.56,7.36858,0.00432
1.562,7.371765,0.0043
1.564,7.37495,0.00429
1.566,7.37813,0.00427
1.568,7.381305,0.00425
1.57,7.38448,0.00424
1.572,7.38765,0.00422
1.574,7.390815,0.0042
1.576,7.393975,0.00419
1.578,7.39713,0.00417
1.58,7.400285,0.00416
1.582,7.403435,0.00414
1.584,7.406585,0.00412
1.586,7.409725,0.00411
1.588,7.412865,0.00409
1.59,7.416,0.00407
1.592,7.41913,0.00406
1.594,7.42226,0.00404
1.596,7.425385,0.00402
1.598,7.428505,0.00401
1.6,7.43162,0.00399
1.602,7.434735,0.00397
1.604,7.437845,0.00396
1.606,7.44095,0.00394
1.608,7.44405,0.00392
1.61,7.44715,0.00391
1.612,7.450245,0.00389
1.614,7.453335,0.00387
1.616,7.456425,0.00386
1.618,7.45951,0.00384
1.62,7.46259,0.00382
1.622,7.465665,0.00381
1.624,7.468735,0.00379
1.626,7.471805,0.00377
1.628,7.47487,0.00376
1.63,7.477935,0.00374
1.632,7.48099,0.00372
1.634,7.484045,0.00371
1.636,7.487095,0.00369
1.638,7.490145,0.00367
1.64,7.49319,0.00366
1.642,7.496225,0.00364
1.644,7.499265,0.00362
1.646,7.502295,0.00361
1.648,7.505325,0.00359
1.65,7.50835,0.00357
1.652,7.511375,0.00356
1.654,7.51439,0.00354
1.656,7.517405,0.00352
1.658,7.520415,0.00351
1.66,7.523425,0.00349
1.662,7.526425,0.00347
1.664,7.529425,0.00346
1.666,7.532425,0.00344
1.668,7.535415,0.00342
1.67,7.538405,0.0034
1.672,7.54139,0.00339
1.674,7.544375,0.00337
1.676,7.54735,0.00335
1.678,7.550325,0.00334
1.68,7.5533,0.00332
1.682,7.556265,0.0033
1.684,7.55923,0.00329
1.686,7.56219,0.00327
1.688,7.565145,0.00325
1.69,7.5681,0.00324
1.692,7.57105,0.00322
1.694,7.573995,0.0032
1.696,7.57694,0.00319
1.698,7.579875,0.00317
1.7,7.582815,0.00315
1.702,7.585745,0.00314
1.704,7.588675,0.00312
1.706,7.591595,0.0031
1.708,7.59452,0.00309
1.71,7.597435,0.00307
1.712,7.60035,0.00305
1.714,7.60326,0.00303
1.716,7.60617,0.00302
1.718,7.60907,0.003
1.72,7.61197,0.00298
1.722,7.614865,0.00297
1.724,7.61776,0.00295
1.726,7.62065,0.00293
1.728,7.623535,0.00292
1.73,7.626415,0.0029
1.732,7.629295,0.00288
1.734,7.63217,0.00287
1.736,7.63504,0.00285
1.738,7.63791,0.00283
1.74,7.640775,0.00281
1.742,7.643635,0.0028
1.744,7.646495,0.00278
1.746,7.649345,0.00276
1.748,7.652195,0.00275
1.75,7.655045,0.00273
1.752,7.657885,0.00271
1.754,7.660725,0.0027
1.756,7.663565,0.00268
1.758,7.666395,0.00266
1.76,7.669225,0.00264
1.762,7.67205,0.00263
1.764,7.674875,0.00261
1.766,7.67769,0.00259
1.768,7.68051,0.00258
1.77,7.68332,0.00256
1.772,7.68613,0.00254
1.774,7.688935,0.00253
1.776,7.691735,0.00251
1.778,7.69453,0.00249
1.78,7.697325,0.00247
1.782,7.700115,0.00246
1.784,7.702905,0.00244
1.786,7.70569,0.00242
1.788,7.70847,0.00241
1.79,7.711245,0.00239
1.792,7.71402,0.00237
1.794,7.71679,0.00235
1.796,7.719555,0.00234
1.798,7.72232,0.00232
1.8,7.72508,0.0023
1.802,7.727835,0.00229
1.804,7.73059,0.00227
1.806,7.733335,0.00225
1.808,7.736085,0.00224
1.81,7.738825,0.00222
1.812,7.741565,0.0022
1.814,7.7443,0.00218
1.816,7.74703,0.00217
1.818,7.74976,0.00215
1.82,7.752485,0.00213
1.822,7.755205,0.00212
1.824,7.757925,0.0021
1.826,7.76064,0.00208
1.828,7.76335,0.00206
1.83,7.76606,0.00205
1.832,7.768765,0.00203
1.834,7.771465,0.00201
1.836,7.774165,0.00199
1.838,7.77686,0.00198
1.84,7.77955,0.00196
1.842,7.782235,0.00194
1.844,7.78492,0.00193
1.846,7.7876,0.00191
1.848,7.79028,0.00189
1.85,7.79295,0.00187
1.852,7.79562,0.00186
1.854,7.79829,0.00184
1.856,7.80095,0.00182
1.858,7.80361,0.00181
1.86,7.80627,0.00179
1.862,7.80892,0.00177
1.864,7.81157,0.00175
1.866,7.81422,0.00174
1.868,7.81686,0.00172
1.87,7.8195,0.0017
1.872,7.82214,0.00168
1.874,7.82477,0.00167
1.876,7.8274,0.00165
1.878,7.830025,0.00163
1.88,7.83265,0.00162
1.882,7.83527,0.0016
1.884,7.837885,0.00158
1.886,7.8405,0.00156
1.888,7.843105,0.00155
1.89,7.845715,0.00153
1.892,7.848315,0.00151
1.894,7.850915,0.00149
1.896,7.85351,0.00148
1.898,7.856105,0.00146
1.9,7.85869,0.00144
1.902,7.86128,0.00143
1.904,7.86386,0.00141
1.906,7.86644,0.00139
1.908,7.869015,0.00137
1.91,7.871585,0.00136
1.912,7.874155,0.00134
1.914,7.87672,0.00132
1.916,7.879285,0.0013
1.918,7.881845,0.00129
1.92,7.8844,0.00127
1.922,7.88695,0.00125
1.924,7.8895,0.00123
1.926,7.892045,0.00122
1.928,7.894585,0.0012
1.93,7.897125,0.00118
1.932,7.89966,0.00117
1.934,7.902195,0.00115
1.936,7.904725,0.00113
1.938,7.90725,0.00111
1.94,7.90977,0.0011
1.942,7.91229,0.00108
1.944,7.914805,0.00106
1.946,7.917315,0.00104
1.948,7.919825,0.00103
1.95,7.92233,0.00101
1.952,7.924835,0.00099
1.954,0,0.00097
1.956,0,0
1.958,0,0
1.96,0,0
1.962,0,0
1.964,0,0
1.966,0,0
1.968,0,0
1.97,0,0
1.972,0,0
1.974,0,0
1.976,0,0
1.978,0,0
1.98,0,0
1.982,0,0
1.984,0,0
1.986,0,0
1.988,0,0
1.99,0,0
1.992,0,0
1.994,0,0
1.996,0,0
1.998,0,0
2,0,0
2.002,0,0
2.004,0,0
2.006,0,0
2.008,0,0
2.01,0,0
2.012,0,0
2.014,0,0
2.016,0,0
2.018,0,0
2.02,0,0
2.022,0,0
2.024,0,0
2.026,0,0
2.028,0,0
2.03,0,0
2.032,0,0
